"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/Square.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/stwall fill.png","Terrain","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/stwall sides 2.png","Terrain","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Back trees.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Background trees.png","Background","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Big trees 2.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Big trees.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Bushes 2.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Bushes.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Clouds.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Dark leafs.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Fields 2.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Fields.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Forest elements.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/gradient.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Grass Fill.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Forest  V2.0/Sprites/Grass Sides Dark and Blur.png","Prop","Bridge|Sun","","Imported source; original protected; license record retained with project owner","False"
